symbol,price,sma_50,sma_200,above_sma50,above_sma200,golden_cross,death_cross,rsi_14,macd,macd_signal,macd_histogram,bb_position,mom_1m,mom_3m,mom_6m,mom_12m,volatility_20d,volatility_1y,sharpe_1y,sortino_1y,max_drawdown_1y,avg_volume_20d,volume_ratio,mom_score,trend_score,rsi_score,sharpe_score,dd_score,composite_score,signal
QFH,951.0,1078.76,882.3960482788086,False,True,False,False,48.35526315789474,-12.600980985052729,0.027836111459202062,-12.62881709651193,0.1107513616207495,-4.8048048048048075,0.10526315789474161,17.600080970333742,15.45929968807609,74.0162200181397,83.66960385347252,0.5163540121032287,0.4577096311395435,-34.634633251918174,1413.55,0.0,0.8,0.7,0.9,0.5,0.5,0.7,HOLD
QLT,3993.0,4027.177646484375,4028.510692138672,False,False,False,True,33.33333333333333,-0.18245788582635214,19.601361164344638,-19.78381905017099,0.13082653081627635,-1.5775203352230704,1.1627138848004037,-2.777413188004685,9.886827907375494,26.507198191545562,24.694139627506992,0.08711073949406448,0.141644321582895,-11.460985762118483,1650082.5,0.6009257112901931,0.7,0.2,0.9,0.5,0.8,0.5900000000000001,HOLD
RBO,600.0,672.215908203125,540.17963180542,False,True,False,False,27.044025157232696,-19.056663748097662,-17.664581108008996,-1.3920826400886668,0.23621336633121987,-14.28571428571429,-14.26780357643076,33.361198313531084,62.71271276656054,27.56546219380846,35.6602793027006,1.3881875882922914,2.4106205385744515,-22.352201608467794,63251.05,0.7511021556163889,1.0,0.7,0.8,0.8,0.5,0.7899999999999999,HOLD
RBX,5000.0,5041.26,4629.19412475586,False,True,False,False,43.741765480895914,27.468516288083265,42.508878651237474,-15.040362363154209,-0.07239805482873785,-1.9607843137254943,-4.816295450218922,20.680615098724164,18.505515829976062,20.183820224849764,28.645041311418456,0.430933421636695,0.7275580918862412,-21.274112874159172,278016.05,1.0558635014057642,0.8,0.7,0.9,0.5,0.5,0.7,HOLD
RCL,858.0,872.9583850097656,942.5505084228515,False,False,False,False,36.79937593962871,3.618509317944813,5.657964833957816,-2.0394555160130032,0.1811646237386518,-0.7927351979043373,-4.6507919443239505,-11.348879540939205,-9.634280865507005,48.415485498746925,45.72389276112864,-0.17332845349236697,-0.27339806796627264,-27.7843414371237,45320.65,0.8492155341990902,0.5,0.3,0.9,0.2,0.5,0.465,HOLD
RDF,622.0,623.14,580.7354342651367,False,True,False,False,43.08943089430894,-1.1689812186808695,-0.19636607822013846,-0.972615140460731,0.2843118652689302,-2.8124999999999956,-8.259587020648972,10.331471387551261,41.48781424792851,23.734070076491225,23.154556269910444,1.2494510633762679,2.112227360236838,-15.151515151515152,12160527.45,0.9553257494599875,0.9,0.7,0.9,0.8,0.8,0.8200000000000001,HOLD
REM,18700.0,18935.859921875,17943.663310546875,False,True,False,False,36.847946725860155,-136.59202889688822,-19.31653454126306,-117.27549435562517,0.1641942283116937,-5.675917015613752,-0.35360814356141246,6.229110664051762,17.142030062180314,17.29902913322749,20.970469268161885,0.4938172684023738,0.8636226440054853,-8.707524744846976,1218956.9,0.9541731951310174,0.8,0.7,0.9,0.5,1.0,0.775,HOLD
RES,8369.0,8199.927626953126,7561.244709472656,True,True,False,False,57.142857142857146,40.00637972397453,36.536898794204554,3.469480929769979,0.644409807697055,0.8677835362179032,-2.7245418072994187,15.644782109492073,40.513583317265,13.814710591352828,18.313319471652154,1.4992738606452725,2.2810260733720766,-11.876968408955328,734862.75,0.787040845382352,0.9,0.9,0.9,0.8,0.8,0.87,BUY
RHB,170.0,165.76960000038147,137.14615000128745,True,True,False,False,29.411764705882362,2.012778604790526,1.310166214584123,0.702612390206403,0.5629311506240883,-2.298850574712641,-8.108108108108103,7455.555555555556,-5.555555555555558,26.652421852287578,21965.38484332182,2.2323445925169683,90.12026643632569,-99.22666666242812,1712.65,0.0,0.5,0.9,0.8,1.0,0.2,0.675,HOLD
RLO,6101.0,6678.54,6069.04509765625,False,True,False,False,30.264550264550266,32.35471713491279,96.35726728057514,-64.00255014566235,-0.40196125396054994,-10.634246374688738,-3.0201875695437974,4.949123204294037,-1.2010133522979083,53.176392448148505,27.63520144267762,-0.18044447705718836,-0.21242706268041148,-15.018846130868466,263524.2,5.934225395618315,0.5,0.7,0.9,0.2,0.8,0.61,HOLD
RMH,48.0,47.5,44.47,True,True,False,False,57.14285714285714,0.2865662709503667,0.2582846262606756,0.028281644689691077,0.5390184045973325,2.127659574468077,2.127659574468077,9.090909090909083,17.07317073170731,22.639783640403323,28.570264770947855,0.4142423979785144,0.7605295402271472,-13.636363636363635,2096925.75,8.70895929433839,0.8,0.9,0.9,0.5,0.8,0.7949999999999999,BUY
RNG,101.0,105.4,91.98,False,True,False,False,50.76923076923077,1.818533610751345,1.593701371252033,0.22483223949931208,0.358893053112789,8.602150537634401,2.020202020202011,50.74626865671641,32.89473684210527,120.11003367806543,190.68049845577715,0.8140818663086244,1.040464952035072,-73.33333333333333,6445.15,2.354793914804155,0.9,0.7,0.9,0.5,0.2,0.685,HOLD
RNI,57142.0,55632.1,54786.4325,True,True,False,False,54.69572849619661,329.52612383554515,344.71329324895885,-15.187169413413699,0.7032993684331857,1.3551385292135176,4.911230653423182,1.3353668268633934,18.675811655926644,16.68061812535685,25.61491449630137,0.4682270327360443,0.7990402781833793,-16.13220918044291,222002.4,1.2088382828293749,0.8,0.9,0.9,0.5,0.8,0.7949999999999999,BUY
S32,4925.0,5099.34755859375,4148.027535400391,False,True,False,False,42.01266713581985,1.557623938877441,-2.6645411080708747,4.222165046948316,0.19948190064247542,-9.433615299742549,-3.45744739400482,37.93338284206029,44.425339957410095,37.30105247411743,33.63989722900431,0.964137908655197,1.53581412047571,-19.725380759696183,2613635.05,0.8770000233965336,0.9,0.7,0.9,0.5,0.8,0.775,HOLD
SAC,339.0,344.1090606689453,341.17299453735353,False,False,False,False,44.444444444444436,-2.48596549869211,-2.772902879281519,0.2869373805894089,0.3871572401035724,-6.353591160220995,-12.82239994650849,4.0248123342473185,16.581540420702456,31.39329354755188,25.331319461876628,0.36209900653504856,0.5512256444337597,-20.351752299126755,2145462.6,1.2179648342506646,0.8,0.3,0.9,0.5,0.5,0.6,SELL
SAP,1486.0,1660.6,2175.05,False,False,False,False,43.261455525606465,-54.819276777156574,-48.31834691383896,-6.500929863317616,0.23208481834723388,-17.122141662018965,-13.403263403263399,-33.093201260693384,-55.388772140498354,67.57905565641667,49.673626663167084,-1.5194527397195765,-2.2093884083927016,-59.02114103677961,2674335.35,1.5483989320935385,0.3,0.3,0.9,0.2,0.2,0.36,SELL
SBK,30592.0,30850.273671875,27867.784697265626,False,True,False,False,42.346133613887424,-230.03879833348765,-116.2129730742208,-113.82582525926685,0.2911517341578708,-4.837154322331793,-2.475643978379538,16.83039446760326,30.657297019360065,24.94290320653284,22.08061722416482,1.0219113385278393,1.5311989086751092,-10.258616012957926,2617144.75,1.0461060665444661,0.9,0.7,0.9,0.8,0.8,0.8200000000000001,HOLD
SBP,15700.0,14576.13853515625,12639.544799804688,True,True,False,False,60.8359133126935,244.72909799192348,267.75243628813934,-23.023338296215854,0.8104396737684995,10.175438596491237,8.208246490373261,25.819505889532746,53.93679311305968,46.464618821543915,36.53298608874763,1.1423311077912146,1.6865702394956468,-17.27273098564613,5405.05,0.03052700715072016,1.0,0.9,0.7,0.8,0.8,0.87,HOLD
SCD,199400.0,199399.859375,199399.519375,True,True,False,False,,0.03709098053514026,0.04739508684485082,-0.010304106309710556,0.5,0.0,0.00014104834338279915,0.000289933137498366,0.0005955401564783358,0.0,0.0002961927920724621,-27007.42447242222,,0.0,0.0,,0.5,0.9,0.4,0.2,1.0,0.615,HOLD
SDL,1841.0,1864.54,1515.085,False,True,False,False,43.381294964028775,1.6253017926428583,11.755719928928361,-10.130418136285503,0.3086246325769369,-0.540248514316588,-23.60995850622407,63.64444444444444,427.50716332378227,115.18596670484398,119.94246284985944,1.8845565194847513,2.7604996023638457,-49.36708860759494,8983.6,0.0,1.0,0.7,0.9,0.8,0.2,0.76,HOLD
SDO,1192.0,1162.9005224609375,1130.4072360229493,True,True,False,False,62.0,2.190697767328402,3.607006094207455,-1.416308326879053,0.5440680242096544,-1.2277066362351374,-0.5686756723952358,8.380137778434849,54.82877070982568,13.898090604573573,38.23904670565945,1.1819525615219022,1.9485961739659292,-24.28570793210775,289874.8,0.30131974217834734,1.0,0.9,0.7,0.8,0.5,0.825,HOLD
SEA,1300.0,1266.78,1158.0047900390625,True,True,False,False,48.63013698630137,4.96420878272329,7.978683971372009,-3.014475188648719,0.5660874022157303,-0.23023791250958991,6.1224489795918435,18.39708561020037,34.12239726657103,22.06368564558754,27.050123000837218,0.8973304066642223,1.2371604049178033,-13.037037037037036,619839.1,0.04139622685951887,0.9,0.9,0.9,0.5,0.8,0.825,BUY
SEP,203.0,202.18,178.63,True,True,False,False,63.15789473684211,-1.193490595570978,-1.279090704321526,0.08560010875054802,0.5,-0.9756097560975618,4.10256410256411,30.12820512820513,37.16216216216217,88.33602272830372,75.0931829907339,0.8355815870935026,1.134379470787022,-26.486486486486488,10633.95,0.056423060104664774,0.9,0.9,0.7,0.5,0.5,0.7499999999999999,HOLD
SHC,2857.0,3015.189140625,3230.9160595703124,False,False,False,False,35.05747126436782,-42.70393263684855,-23.777328549409262,-18.926604087439287,0.08466131380996585,-8.06207417730157,-12.482978626659358,-13.463634754923726,-16.095393204974652,29.447378127831676,22.76055841755401,-1.0250512697219267,-1.4559158481970824,-26.269588083900008,134294.6,1.4423066899190287,0.3,0.3,0.9,0.2,0.5,0.40499999999999997,SELL
SHG,822.0,879.7005834960937,871.7480352783203,False,False,False,False,38.46153846153846,-13.027222753931483,-15.389309502502238,2.3620867485707553,0.13951527274281408,-3.74707259953162,-14.7458469798617,2.199075312473031,22.791424361222635,17.11335166995294,32.87770942656535,0.5890628020048286,0.9848051296925738,-17.829831370282083,41965.85,5.250769375575617,0.8,0.3,0.9,0.5,0.8,0.645,SELL
SHP,29297.0,27604.1477734375,27492.50759765625,True,True,False,False,63.471177944862156,341.53140929051006,311.2777070834437,30.25370220706634,0.9720126404877543,1.6409936164307526,9.537978809457236,6.125945489701934,4.20088956614546,14.928025891999145,20.67169305829241,-0.07251566653906627,-0.13500717372072543,-13.253623556531705,1277930.2,1.1494172373420708,0.5,0.9,0.7,0.2,0.8,0.63,HOLD
SKA,64.0,76.38,101.95,False,False,False,False,31.707317073170742,-5.021624481527482,-4.369121314736402,-0.6525031667910799,0.32872478706314123,-19.999999999999996,-20.98765432098766,-55.86206896551724,,145.94609581575472,,,-0.42174577893220266,-70.85714285714285,1340.7,0.0,0.3,0.3,0.9,0.2,0.2,0.36,SELL
SLM,8560.0,8911.6721875,9251.457529296875,False,False,False,False,46.61319073083779,-98.52235924326851,-118.354090332477,19.83173108920849,0.2930377217008709,-3.992821893225662,-16.36065650106049,-7.067400053434891,-2.9499304352562983,17.43479740547389,22.659519911051447,-0.31287392238120576,-0.48788916557391077,-20.52923469569645,4382016.35,1.2488013651523688,0.5,0.3,0.9,0.2,0.5,0.465,SELL
SNT,38300.0,40332.012734375,41693.93728515625,False,False,False,False,29.208720226079933,-449.6820412165107,-327.28451599570195,-122.39752522080875,-0.11771821733647404,-5.9384056191365,-15.159810421356735,-12.296975208116677,-9.087714388847889,16.336331800395463,18.615878684592403,-0.8299423950736541,-1.1733037374999629,-15.186105635027253,71740.9,0.5325971656335508,0.5,0.3,0.8,0.2,0.8,0.495,SELL
SNV,768.0,737.08,755.65,True,True,False,False,45.6,10.66714907634514,16.263894617121334,-5.596745540776194,0.34712202090424904,1.7218543046357615,14.626865671641799,8.628005657708627,6.666666666666665,41.056655372545215,46.098352038586,0.19580788431760734,0.25595534742823484,-34.35897435897436,33342.95,0.43913331004005346,0.7,0.9,0.9,0.5,0.5,0.72,BUY
SOH,95.0,97.74,105.69500000178815,False,False,False,False,0.0,-1.5742813399623117,-1.4084337478489721,-0.16584759211333955,0.23061283541338584,0.0,-40.993788819875775,10226.086769200907,-34.48275862068966,26.43735081292261,17082.13712900315,1.7198409643393182,80.3368902509791,-99.47428570474897,23347.75,0.22700260196378666,0.3,0.3,0.8,0.8,0.2,0.43499999999999994,SELL
SOL,22472.0,20423.7,13434.535,True,True,False,False,58.105625717566014,478.3361356794958,611.2889702941848,-132.95283461468898,0.6775512578304577,4.764568764568766,77.91148760984879,93.05841924398625,237.01259748050393,68.08008452740644,66.00647165032063,1.9772490021405191,3.041640117458269,-27.125187111006067,3697593.25,0.6999769377013006,1.0,0.9,0.9,0.8,0.5,0.855,BUY
SOLBE1,10000.0,8216.82,6874.525,True,True,False,False,100.0,596.8594866358053,541.94890199022,54.910584645585345,0.7050695240774885,26.582278481012665,61.31634134537829,53.846153846153854,100.0,134.14267161083174,96.02121178023957,1.0460155284624706,1.0479121248046164,-41.17647058823529,281.45,0.0,1.0,0.9,0.4,0.8,0.2,0.735,BUY
SPG,1633.0,1651.92,1638.975,False,False,False,False,52.11267605633803,-17.197028375260288,-20.274902676421313,3.0778743011610246,0.5302106349314326,-5.606936416184971,-1.9219219219219208,-5.113306217315516,-46.16072574864663,27.40235770650361,65.76834455613742,-0.5603275367891272,-0.44612753264323995,-59.11775868237711,567824.2,1.1851220853214781,0.3,0.3,0.9,0.2,0.2,0.36,HOLD
