Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short-term investments, Quarterly","Cash and short-term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly"
HAR,Harmony Gold Mining Co. Ltd.,2026-H1,2025-12-31,114628000000,ZAR,16298000000,ZAR,7682000000,ZAR,62424000000,ZAR,12894000000,ZAR,5212000000,ZAR,52204000000,ZAR,0.541947926711668,0.380474179496558,0.24851592012952,0.5957809834031332
DSY,Discovery Limited,2026-H1,2025-12-31,362424000000,ZAR,87468000000,ZAR,,,289765000000,ZAR,20258000000,ZAR,-509000000,ZAR,72659000000,ZAR,7.62049137480397,,0.278786210692906,
SLM,Sanlam Limited,2025-H2,2025-12-31,1294993000000,ZAR,102592000000,ZAR,,,1183471000000,ZAR,20099000000,ZAR,-16080000000,ZAR,111522000000,ZAR,2.26018373686414,,0.19770610165156702,
SHP,Shoprite Holdings Limited,2026-H1,2025-12-31,136958000000,ZAR,61392000000,ZAR,15111000000,ZAR,106335000000,ZAR,57139000000,ZAR,42028000000,ZAR,30623000000,ZAR,1.15840519274676,0.521803120931373,1.86132647077986,0.2644603510736975
SSW,Sibanye Stillwater Limited,2025-H2,2025-12-31,149737000000,ZAR,60753000000,ZAR,17178000000,ZAR,105570000000,ZAR,43904000000,ZAR,26726000000,ZAR,44167000000,ZAR,1.778587739329,0.8569881140582,1.1107625360522202,0.39126275510204084
NPH,Northam Platinum Holdings Limited,2026-H1,2025-12-31,67400043999.99999,ZAR,21596288000,ZAR,9252664000,ZAR,28145470000,ZAR,12013196000,ZAR,2760532000,ZAR,39254574000,ZAR,2.45415208221732,1.34836415149357,0.30603302432985297,0.7702083608724939
BID,Bid Corporation Limited,2026-H1,2025-12-31,113740897000,ZAR,50877897000,ZAR,9022335000,ZAR,66767728000,ZAR,24531185000,ZAR,15508850000,ZAR,46973169000,ZAR,1.35232189951243,0.867318341945483,0.525935864951511,0.36779042675679957
SOL,Sasol Limited,2026-H1,2025-12-31,339707000000,ZAR,119260000000,ZAR,39998000000,ZAR,183010000000,ZAR,110427000000,ZAR,70429000000,ZAR,156697000000,ZAR,1.65608987266188,1.08605390693347,0.729854593522802,0.36221214014688435
SOLBE1,BEE - Sasol Limited,2026-H1,2025-12-31,339707000000,ZAR,119260000000,ZAR,39998000000,ZAR,183010000000,ZAR,110427000000,ZAR,70429000000,ZAR,156697000000,ZAR,1.65608987266188,1.08605390693347,0.729854593522802,0.36221214014688435
NED,Nedbank Group,2025-H2,2025-12-31,1558628000000,ZAR,167928000000,ZAR,,,1443630000000,ZAR,106572000000,ZAR,48341000000,ZAR,114998000000,ZAR,0.757520942254862,,0.9339327496910901,
INPPR,Investec PLC Pref. (Rand),2025-H1,2025-09-30,1408549635909.5652,ZAR,251134782034.7826,ZAR,,,1284627767777.391,ZAR,180041797339.13043,ZAR,73389088692.1739,ZAR,123921868132.1739,ZAR,3.01104254619023,,1.45264591984992,
INP,Investec plc,2025-H1,2025-09-30,1408549635909.5652,ZAR,251134782034.7826,ZAR,,,1284627767777.391,ZAR,180041797339.13043,ZAR,73389088692.1739,ZAR,123921868132.1739,ZAR,3.01104254619023,,1.45264591984992,
OUT,OUTsurance Group Limited,2026-H1,2025-12-31,38170000000,ZAR,5709000000,ZAR,,,23242000000,ZAR,319000000,ZAR,-1542000000,ZAR,14928000000,ZAR,3.62246192893401,,0.0234283196239718,
REM,Remgro Limited,2026-H1,2025-12-31,146715000000,ZAR,35399000000,ZAR,15580000000,ZAR,20425000000,ZAR,5119000000,ZAR,-10461000000,ZAR,126290000000,ZAR,3.51076068630368,2.40265793910543,0.0428525984462898,3.043563195936706
RNI,Reinet Investments S.C.A.,2025-H1,2025-09-30,134968895375,ZAR,,,0,ZAR,0,ZAR,0,ZAR,0,ZAR,134968895375,ZAR,,,0,
KIO,Kumba Iron Ore Limited,2025-H2,2025-12-31,103705000000,ZAR,31916000000,ZAR,15117000000,ZAR,31697000000,ZAR,203000000,ZAR,-14914000000,ZAR,72008000000,ZAR,2.4581022797289,1.71195317313617,0.00369500718979232,74.4679802955665
NRP,NEPI Rockcastle N.V,2025-H2,2025-12-31,174190892370.725,ZAR,,,6110523097.20197,ZAR,76764407277.5269,ZAR,60443510949.107895,ZAR,54332987851.9059,ZAR,97426485093.1984,ZAR,0.853042525724342,0.853042525724342,0.62040122756443,0.1010947742983841
N91,Ninety One Plc,2025-H1,2025-09-30,318916709913.04346,ZAR,,,8214815304.347826,ZAR,309776149913.04346,ZAR,1907595130.4347825,ZAR,-6307220173.913043,ZAR,9140560000,ZAR,1.02841582719506,1.02841582719506,0.208802456499488,4.306372549019608
NY1,Ninety One Ltd.,2025-H1,2025-09-30,316853844599.062,ZAR,,,8161678993.125,ZAR,307772408952.187,ZAR,1895256135,ZAR,-6266422858.125,ZAR,9081435646.875,ZAR,1.02841582719506,1.02841582719506,0.208802456499488,4.306372549019608
PPH,Pepkor Holdings Ltd.,2025-H2,2025-09-30,116075000000,ZAR,41336000000,ZAR,5069000000,ZAR,52835000000,ZAR,26903000000,ZAR,21834000000,ZAR,63240000000,ZAR,1.6286198337339,0.895078996099444,0.42547168319337,0.18841764858937665
BVT,Bidvest Group Limited,2026-H1,2025-12-31,121752662000,ZAR,39484476000,ZAR,4974493000,ZAR,79079000000,ZAR,43574900000,ZAR,38600407000,ZAR,42673662000,ZAR,1.29571640022663,0.811421849806149,1.11028581587059,0.11415959646493738
