Symbol,Description,Pre-market price,Pre-market price - Currency,Pre-market change %,Pre-market gap %,Pre-market volume,Price,Price - Currency,Price change % 1 day,Gap % 1 day,Volume 1 day,Volume change % 1 day,Post-market price,Post-market price - Currency,Post-market change %,Post-market volume
CAA,CA Sales Holdings (Pty) Ltd.,,,,,,1400,ZAC,0.35842293906810035,0,11827,39.61751859284618,,,,
TSG,Tsogo Sun Limited,,,,,,698,ZAC,4.962406015037594,-0.15037593984962408,9253609,65.01108887847099,,,,
KAP,KAP Limited,,,,,,240,ZAC,-5.88235294117647,-1.1764705882352942,3526878,7.280383193111674,,,,
OCE,Oceana Group Limited,,,,,,5400,ZAC,-0.037023324694557574,-0.5738615327656423,595,-95.69869153473579,,,,
SEA,Spear REIT Ltd.,,,,,,1266,ZAC,0,0,100,-99.28330824912204,,,,
SBP,Sabvest Capital Ltd.,,,,,,15700,ZAC,4.6596893540430635,4.6596893540430635,165,-97.7982385908727,,,,
SPG,Super Group Limited,,,,,,1628,ZAC,-0.42813455657492355,0,400527,1.0704417275445701,,,,
RBO,Rainbow Chicken Limited,,,,,,600,ZAC,-1.639344262295082,-0.819672131147541,43958,-42.68914355745036,,,,
HDC,Hudaco Industries Limited,,,,,,19403,ZAC,-0.49743589743589745,0,1736,-73.54061880810852,,,,
SYG,Sygnia Ltd.,,,,,,3232,ZAC,0.6540018685767673,1.930862659607599,92,-99.27278476009802,,,,
FBR,Famous Brands Limited,,,,,,4981,ZAC,-0.300240192153723,2.0616493194555647,15543,-61.58333127363503,,,,
AFT,Afrimat Limited,,,,,,3136,ZAC,-2.608695652173913,-0.5900621118012422,197970,-26.688910202524802,,,,
CAT,Caxton and CTP Publishers and Printers Limited,,,,,,1245,ZAC,-4.009252120277564,-0.8481110254433308,48764,15993.729372937292,,,,
OCT,Octodec Investments Limited,,,,,,1700,ZAC,1.4925373134328357,0,28280,24.078624078624077,,,,
LEW,Lewis Group Limited,,,,,,8299,ZAC,0.593939393939394,0,5406,-73.73177842565597,,,,
ACS,Acsion Limited,,,,,,1085,ZAC,-0.2757352941176471,-0.8272058823529412,5001,4708.653846153846,,,,
BEL,Bell Equipment Limited,,,,,,4115,ZAC,0.4884004884004884,-0.1221001221001221,2033,-91.76089159067882,,,,
MKR,"Montauk Renewables, Inc.",,,,,,2775,ZAC,0.9090909090909091,-7.236363636363636,4235,-89.93440129296002,,,,
NPK,Nampak Limited,,,,,,47426,ZAC,-1.1958333333333333,-0.4291666666666667,2179,0.36849378166743435,,,,
SUR,Spur Corporation Limited,,,,,,4224,ZAC,-1.9953596287703015,0,21598,-4.766524097182415,,,,
CPP,Collins Property Group Limited,,,,,,1150,ZAC,6.877323420074349,0,1551,-44.32878679109835,,,,
KP2,Kore Potash PLC,,,,,,70,ZAC,0,-2.857142857142857,713758,-37.14954937502476,,,,
CHP,Choppies Enterprises Limited,,,,,,165,ZAC,0,0,362,-63.800000000000004,,,,
MCZ,MC Mining Ltd,,,,,,350,ZAC,-1.4084507042253522,1.971830985915493,10903,-91.33609866183528,,,,
KAL,KAL Group Limited,,,,,,4451,ZAC,-0.46958855098389984,-0.044722719141323794,30304,-78.07553176096079,,,,
MRF,Merafe Resources Limited,,,,,,123,ZAC,-1.6,-0.8,382113,-83.32039081600716,,,,
