Symbol,Description,Technical rating 1 day,Moving averages rating 1 day,Oscillators rating 1 day,Relative strength index (14) 1 day,Momentum (10) 1 day,Awesome oscillator 1 day,Commodity channel index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick pattern 1 day
RES,Resilient REIT Limited,Neutral,Buy,Sell,51.09943640574909,63,85.90588235296491,6.994932804584877,58.36820083682007,59.83263598326358,
ADH,ADvTECH Limited,Buy,Strong buy,Sell,52.28732594593975,81,117.75000000001546,20.21144278606909,52.87081339712919,56.07339970117238,
PIK,Pick N Pay Stores Limited,Buy,Strong buy,Buy,67.98863855100298,267,105.89705882353496,219.976060646361,89.34568127516052,79.49319656669553,
KRO,Karooooo Ltd.,Sell,Strong sell,Neutral,40.892637873148225,-4257,-3391.197058823527,-234.32882361698015,15.720987316215657,21.51449509669583,"Bullish Harami, Inverted Hammer, Long Upper Shadow"
HYP,Hyprop Investments Limited,Sell,Strong sell,Neutral,46.479023992483214,-3,29.37352941176505,-31.026365348399843,58.78787878787879,63.47474747474749,
SRI,Supermarket Income REIT Plc,Sell,Strong sell,Neutral,43.80675087357839,-100,-32.23235294117649,-143.27425116790033,12.231481481481481,9.531025790188094,
APH,Alphamin Resources Corp.,Neutral,Buy,Sell,49.5102780056599,-104,125.15882352941162,-77.63904653802402,30.557124874867412,43.598663931095295,
OPA,Channel VAS Investments Limited,Sell,Strong sell,Neutral,28.039100863532198,-184,-191.6911764705883,-132.31581584475262,11.027099621920279,7.815493895973414,
NTC,Netcare Limited,Sell,Sell,Sell,38.41847820689279,-81,-22.7764705882405,-180.20269332222966,13.067136425915061,16.831916103879767,
TFG,Foschini Group Limited,Sell,Strong sell,Sell,28.523656661606978,-1102,-925.5352941176589,-145.25127581195827,12.800818242791074,12.014717944011808,
TRU,Truworths International Limited,Sell,Strong sell,Sell,42.686813211228895,-148,-207.10882352942917,-81.82878028799281,31.944680666579956,20.879468905941323,
TGA,Thungela Resources Limited,Sell,Sell,Sell,39.15414377569373,-1512,-1264.0294117647063,-144.9661105154589,8.622812468296022,17.83961402168173,
BYI,Bytes Technology Group Plc,Buy,Strong buy,Neutral,71.85874198370493,871,670.0205882352939,210.9377260129829,92.07891032061299,89.03724457909279,
DTC,Datatec Limited,Strong buy,Strong buy,Neutral,59.04298571433198,377,360.98823529411493,101.88876467431137,63.81282640392832,59.196503105516,
CML,Coronation Fund Managers Limited,Strong sell,Strong sell,Sell,45.72389402252578,24,-29.747058823528278,-52.24845004988806,35.333333333333336,32.15763447371077,
MTH,Motus Holdings Limited,Strong sell,Strong sell,Sell,29.14971043593593,-1051,-982.6411764705881,-131.68552449880755,16.08281527501266,11.85236884193302,
GCT,Greencoat Renewables Plc,Strong buy,Strong buy,Buy,56.34635523810391,133,69.71470588235297,76.06161372931251,71.39276436278017,81.61286546632253,
LHC,Life Healthcare Group Holdings Limited,Sell,Strong sell,Buy,36.67245163537976,-122,-88.9117647058963,-100.18799071105225,16.666666666666696,13.534511283171215,
GND,Grindrod Limited,Buy,Strong buy,Sell,73.31338220673136,96,215.23235294118967,136.9855059841333,95.339412360689,95.96631205673764,
GNDP,Grindrod Ltd Cum.Non-Red.Non-Ptg.Non-Cnv.Pref.Shs,Neutral,Buy,Neutral,49.35415107784623,-50,-164.4735294117636,42.73460548080676,85.67335243553009,70.97352424185054,
LTE,Lighthouse Properties Plc,Sell,Strong sell,Neutral,42.251518565617864,-12,-6.917647058822467,-74.42748091603787,17.02127659574468,18.439716312056696,
OMN,Omnia Holdings Limited,Buy,Strong buy,Neutral,59.05904301386481,17,142.052941176471,99.55625647447914,84.39460198049115,80.34855450501982,
EQU,Equites Property Fund Ltd ZAR,Buy,Strong buy,Neutral,58.52320899748478,88,18.92647058823536,77.16743405789231,61.03603603603603,49.92492492492493,
WBC,We Buy Cars Holdings Ltd.,Strong sell,Strong sell,Neutral,29.248162039474153,-296,-302.99411764705883,-163.19637700807712,18.75106728875008,18.68503400047422,
FTB,Fairvest Limited Class B,Sell,Sell,Sell,47.98464321716194,1,-1.3647058823529505,-41.43364637191507,30.68558892088304,32.339092962446784,
FTA,Fairvest Limited Class A,Neutral,Sell,Neutral,49.70020009475247,0,-4.685294117647118,43.30708661417938,100,95.9848484848485,
MSP,MAS P.L.C.,Neutral,Neutral,Buy,51.58804466546437,42,78.13529411764716,57.05789424774777,51.93370165745853,63.801011131834194,
JSE,JSE Limited,Sell,Strong sell,Sell,42.74776663178133,-232,-307.3588235294028,-53.25313778802965,36.32716049382716,36.13168724279834,
SSU,Southern Sun Limited,Sell,Sell,Sell,47.760744032551386,11,0.5823529411766231,56.0606060606044,28.940568475452196,31.093884582256678,
