Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY"
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,2025-H1,2025-09-30,112384459872.64,ZAR,-1.9093620681531056,,,19363999454.830902,ZAR,14965926582.2052,ZAR,,,17.5504,ZAR,3.084838944623253
INL,Investec Limited,2025-H1,2025-09-30,112384459872.64,ZAR,-1.9093620681531056,,,19363999454.830902,ZAR,14965926582.2052,ZAR,,,17.5504,ZAR,3.084838944623253
S32,South32 Ltd.,2026-H1,2025-12-31,94251012245.8636,ZAR,-3.326378923021463,-3180190183.407511,ZAR,-3180190183.4074554,ZAR,4941432316.542014,ZAR,4483684349.541667,ZAR,1.0965141666666667,ZAR,85.71082397958125
IMP,Impala Platinum Holdings Limited,2026-H1,2025-12-31,103952000000,ZAR,21.933538995695166,13754000000,ZAR,13450000000,ZAR,8210000000,ZAR,22203000000,ZAR,9.1181,ZAR,
ABG,Absa Group Limited,2025-H2,2025-12-31,219167000000,ZAR,-0.9763789488903347,,,37528000000,ZAR,22214000000,ZAR,,,26.5147,ZAR,2.183195751535757
HAR,Harmony Gold Mining Co. Ltd.,2026-H1,2025-12-31,88730000000,ZAR,27.746263929281007,36563000000,ZAR,34612000000,ZAR,16276000000,ZAR,40441000000,ZAR,25.7334,ZAR,54.32323838080959
DSY,Discovery Limited,2026-H1,2025-12-31,88040000000,ZAR,11.909089753530527,,,17928000000,ZAR,10857000000,ZAR,,,16.0353,ZAR,31.012704767351607
SLM,Sanlam Limited,2025-H2,2025-12-31,288638000000,ZAR,23.23476419404145,,,24644000000,ZAR,15941000000,ZAR,,,7.5403,ZAR,-28.44182095982842
SHP,Shoprite Holdings Limited,2026-H1,2025-12-31,260862000000,ZAR,5.070204693201866,55085000000,ZAR,14900000000,ZAR,7572000000,ZAR,23749000000,ZAR,13.9691,ZAR,14.97201646090534
SSW,Sibanye Stillwater Limited,2025-H2,2025-12-31,129677000000,ZAR,15.649831890055205,30887000000,ZAR,25135000000,ZAR,-5171000000,ZAR,35486000000,ZAR,-1.8268,ZAR,30.442066785972667
NPH,Northam Platinum Holdings Limited,2026-H1,2025-12-31,41236029000,ZAR,35.65951380922475,7870021000,ZAR,7870021000,ZAR,9146998000,ZAR,9556936000,ZAR,22.9372,ZAR,496.56167910738907
BID,Bid Corporation Limited,2026-H1,2025-12-31,243932214000,ZAR,6.0342232053650005,59548978000,ZAR,13082356000,ZAR,8802823000,ZAR,16888891000,ZAR,26.1264,ZAR,10.686793284160673
SOLBE1,BEE - Sasol Limited,2026-H1,2025-12-31,249381000000,ZAR,-4.425358719646799,68292000000,ZAR,43233000000,ZAR,2408000000,ZAR,56667000000,ZAR,3.7082,ZAR,
