Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Basic earnings per share, Trailing 12 months","Basic earnings per share, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
PHP,Primary Health Properties PLC,2.231525456905734,ZAR,1.5133546666666666,ZAR,1.4909013333333334,ZAR,0.89605655412431,ZAR,,,1.7404175378183717,ZAR,1.749033466223413,ZAR,22.098570666666667,ZAR,,,,
EXX,Exxaro Resources Limited,178.148604281524,ZAR,31.7815,ZAR,31.7815,ZAR,50.0996302337762,ZAR,28.352970272762786,ZAR,31.329861555913872,ZAR,45.12250684203223,ZAR,239.06287,ZAR,,,,
MTM,Momentum Group Limited,147.137313432836,ZAR,4.6072,ZAR,4.4745,ZAR,4.7544776119403,ZAR,4.545522388059702,ZAR,,,,,26.02411,ZAR,,,,
WHL,Woolworths Holdings Limited,91.4239300918665,ZAR,1.9442,ZAR,1.9209,ZAR,7.27313466278288,ZAR,3.9805063858391216,ZAR,5.155724848756441,ZAR,,,11.70474,ZAR,,,,
SNT,Santam Limited,553.705120834211,ZAR,37.1703,ZAR,36.7763,ZAR,22.1492905829068,ZAR,21.40736173168198,ZAR,,,,,137.74735,ZAR,,,,
RDF,Redefine Properties Limited,1.60031251262693,ZAR,0.8956,ZAR,0.8934,ZAR,0.463043397249837,ZAR,,,0.9722183870447753,ZAR,0.9769487670899988,ZAR,8.05632,ZAR,,,,
TBS,Tiger Brands Limited,224.046960072654,ZAR,24.8233,ZAR,24.4899,ZAR,37.9665527827235,ZAR,30.331549374804453,ZAR,35.74510554543643,ZAR,42.012062267636146,ZAR,112.79137,ZAR,,,,
DRD,DRDGOLD Ltd.,10.5022842643714,ZAR,3.7011,ZAR,3.6842,ZAR,5.21967818999746,ZAR,1.816050425533367,ZAR,4.58959405337981,ZAR,5.178953379998804,ZAR,12.43637,ZAR,,,,
ARI,African Rainbow Minerals Limited,71.2359005833174,ZAR,6.7814,ZAR,6.7135,ZAR,40.0843773047743,ZAR,26.571630452161266,ZAR,8.633716882165754,ZAR,13.476644093846543,ZAR,319.3814,ZAR,,,,
BOX,Boxer Retail Limited,102.913537042144,ZAR,3.4358,ZAR,3.4019,ZAR,5.43951563903922,ZAR,3.264146643523133,ZAR,5.767460713740138,ZAR,8.7911143024826,ZAR,7.34509,ZAR,,,,
MRP,Mr Price Group Limited,156.319965204236,ZAR,14.4752,ZAR,14.0192,ZAR,31.9288479576399,ZAR,27.98338956127074,ZAR,21.767786686838075,ZAR,,,51.76836,ZAR,,,,
HMN,Hammerson plc,9.222396967454612,ZAR,10.335269333333333,ZAR,10.292608,ZAR,4.497986811794446,ZAR,,,3.7534023540820964,ZAR,3.792591009751167,ZAR,88.7899104,ZAR,,,,
SRE,Sirius Real Estate Limited,4.1696590060267065,ZAR,2.7468434782608693,ZAR,2.725803826086956,ZAR,1.7246687856929281,ZAR,,,1.3363405473659966,ZAR,1.4046012500312892,ZAR,23.101304313043478,ZAR,,,,
KST,PSG Financial Services Limited,6.61503631375081,ZAR,1.3962,ZAR,1.372,ZAR,,,,,2.135191252420917,ZAR,2.306090219496449,ZAR,4.56111,ZAR,,,,
VKE,Vukile Property Fund Limited,4.41817911192386,ZAR,3.4789,ZAR,3.4789,ZAR,1.94033507097583,ZAR,,,2.7703003415009007,ZAR,2.7727106956263365,ZAR,23.84081,ZAR,,,,
DCP,Dis-Chem Pharmacies Limited,47.6245064134435,ZAR,1.4408,ZAR,1.4393,ZAR,2.41260634654295,ZAR,0.6279781319613726,ZAR,2.707264424280495,ZAR,4.070480589766354,ZAR,6.56597,ZAR,,,,
