Symbol,Description,"Dividends per share, Annual","Dividends per share, Annual - Currency","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency","Dividend yield %, Trailing 12 months",Dividend yield % (indicated),"Dividend payout ratio %, Trailing 12 months","Dividends per share growth %, Annual YoY",Continuous dividend payout,Continuous dividend growth
ATT,Attacq Limited,0.87,ZAR,,,5.46546546546547,5.465465465465466,44.498777506112475,26.08695652173914,4,3
SUI,Sun International Limited,4.24,ZAR,,,8.53862212943633,8.851774530271399,63.96234669402163,6.532663316582921,4,3
RLO,Reunert Limited,3.83,ZAR,2.93,ZAR,5.3943661971831,5.394366197183099,64.93616588392872,4.644808743169397,39,5
WBO,Wilson Bayly Holmes-Ovcon Limited,6.2,ZAR,3,ZAR,3.64662980825785,3.646629808257852,26.229619162852092,34.782608695652186,2,1
AFE,AECI Ltd,2.28,ZAR,1.28,ZAR,1.99422723694568,1.9942272369456833,72.89235589373061,4.109589041095884,46,1
PPC,PPC Limited,0.176,ZAR,,,2.61127596439169,2.6112759643916914,0,28.467153284671515,2,1
SDO,Stadio Holdings Pty Ltd.,0.184,ZAR,0.184,ZAR,1.5580016934801,1.5580016934801015,47.70547057298419,21.85430463576159,5,4
ITE,Italtile Limited,0.5,ZAR,0.24,ZAR,5.60975609756098,5.609756097560976,39.69281214945207,2.040816326530614,28,1
SAC,SA Corporate Real Estate Ltd.,0.265587,ZAR,,,7.69817391304348,7.698144927536231,121.49451052150046,8.984254779579235,28,2
RBX,Raubex Group Limited,2.02,ZAR,1.21,ZAR,3.55769230769231,3.884615384615385,33.103357860408714,2.020202020202022,19,6
AFH,Alexander Forbes Group Holdings Limited,0.55,ZAR,,,6.98529411764706,6.985294117647058,75.46670197272607,10.000000000000009,11,4
SAP,Sappi Limited,0,ZAR,0,ZAR,0,,0,-100,0,0
ARL,Astral Foods Limited,11,ZAR,8.8,ZAR,4.59962366715451,4.599623667154505,48.34761052923053,111.53846153846155,2,1
CCD,Cell C Holdings Ltd.,,,0,ZAR,0,,,,0,0
SSS,Stor-Age Property REIT Ltd.,1.1072,ZAR,,,6.49655963302752,6.496559633027522,51.185904675852726,-6.304476601506305,10,0
CLI,Clientele Limited,1.32,ZAR,,,6.91099476439791,6.9109947643979055,0,5.600000000000005,28,1
THA,Tharisa Plc,0.524493,ZAR,0.256188,ZAR,1.84680633802817,1.8468063380281692,10.922386505622658,-36.06270205431025,9,0
BAT,Brait PLC,0,ZAR,,,0,,0,,0,0
AEL,Altron Limited Class A,0.9,ZAR,0.48,ZAR,4.53703703703704,4.537037037037036,99.38140148058007,55.08177117167723,7,3
RCL,RCL Foods Limited,0.6,ZAR,0.15,ZAR,6.71140939597316,6.152125279642059,45.46205984460242,71.42857142857143,2,1
BTN,Burstone Group Limited,0.922262,ZAR,,,9.6900414078675,9.690041407867495,-59.81201277955272,3.086807519398731,14,1
OAO,Oando PLC,0,ZAR,0,ZAR,0,,0,,0,0
LSK,"Lesaka Technologies, Inc.",0,ZAR,0,ZAR,0,,0,,0,0
BLU,Blu Label Unlimited Group Ltd,0,ZAR,0.435613,ZAR,5.11883666274971,0,-13.47645712164336,,0,0
PWR,"PowerFleet, Inc.",0,ZAR,0,ZAR,0,,0,,0,0
DIB,Dipula Properties Limited Class B,0.515313,ZAR,,,7.33019914651494,7.600583214793742,50.34320046893318,5.259792917356907,5,1
WVR,Weaver Fintech Ltd.,2.72,ZAR,1.32,ZAR,4.18525927065702,4.185259270657025,70.8683984263047,41.66666666666668,5,4
EMI,Emira Property Fund Ltd.,1.2389,ZAR,,,8.5938566552901,8.593856655290102,43.1681810389165,5.870791317723465,21,2
CAA,CA Sales Holdings (Pty) Ltd.,0.2869,ZAR,0.2869,ZAR,2.05663082437276,2.05663082437276,19.941613957044552,17.389525368248766,9,5
TSG,Tsogo Sun Limited,0.6,ZAR,0.15,ZAR,6.76691729323308,6.7669172932330826,39.256739073540956,-14.285714285714283,4,0
KAP,KAP Limited,0,ZAR,0,ZAR,0,,0,,0,0
OCE,Oceana Group Limited,2.85,ZAR,1.75,ZAR,5.27582376897445,5.275823768974454,50.665765941938815,-42.42424242424242,35,0
SEA,Spear REIT Ltd.,0.812703,ZAR,,,6.58203001579779,6.582030015797789,39.233720984980465,3.058128018848892,9,4
SBP,Sabvest Capital Ltd.,1.3,ZAR,,,0.866608892740484,0.8666088927404841,4.381057654718736,23.809523809523807,6,1
SPG,Super Group Limited,0,ZAR,0,ZAR,0,0,0,-100,0,0
RBO,Rainbow Chicken Limited,0.2,ZAR,0.15,ZAR,5.73770491803279,0,33.895022273871774,,1,0
HDC,Hudaco Industries Limited,11.2,ZAR,7.7,ZAR,5.74358974358974,5.743589743589743,55.36551124117612,9.268292682926822,38,1
SYG,Sygnia Ltd.,2.31,ZAR,,,7.19402055434444,7.194020554344441,93.23915237134209,6.451612903225811,10,2
FBR,Famous Brands Limited,3.45,ZAR,1.62,ZAR,7.14571657325861,7.145716573258606,63.57290405299523,14.238410596026496,4,1
AFT,Afrimat Limited,0.25,ZAR,0.2,ZAR,1.08695652173913,1.0869565217391302,-53.746928746928745,-87.11340206185567,18,0
CAT,Caxton and CTP Publishers and Printers Limited,0.7,ZAR,1,ZAR,13.1071703932151,0,102.3048685081543,16.666666666666664,5,1
OCT,Octodec Investments Limited,1.345017,ZAR,,,8.02995223880597,8.179223880597016,68.66908926870833,7.6013599999999935,34,1
LEW,Lewis Group Limited,8,ZAR,3.37,ZAR,10.1454545454545,10.145454545454545,54.64088469924665,60,21,1
ACS,Acsion Limited,0.38,ZAR,,,3.87096774193548,3.870967741935484,10.629144100825023,17.28395061728395,4,1
BEL,Bell Equipment Limited,1,ZAR,1,ZAR,2.44200244200244,2.442002442002442,24.90163852781513,-37.50000000000001,2,0
MKR,"Montauk Renewables, Inc.",0,ZAR,0,ZAR,0,,0,,0,0
NPK,Nampak Limited,0,ZAR,0,ZAR,0,,0,,0,0
SUR,Spur Corporation Limited,2.99,ZAR,1.2,ZAR,7.26218097447796,7.262180974477958,86.39964667237143,-22.013562858633275,5,0
CPP,Collins Property Group Limited,1,ZAR,,,9.47955390334573,9.479553903345725,59.29887797221092,11.111111111111107,13,2
KP2,Kore Potash PLC,0,ZAR,0,ZAR,0,,0,,0,0
CHP,Choppies Enterprises Limited,0.028560714285714286,ZAR,0.012333333333333335,ZAR,1.06666666666667,1.136909090909091,31.936127744510976,-26.373229461756363,2,0
MCZ,MC Mining Ltd,0,ZAR,0,ZAR,0,,0,,0,0
KAL,KAL Group Limited,2.1,ZAR,1.54,ZAR,4.695885509839,5.008944543828266,36.82143358114743,16.666666666666668,9,1
MRF,Merafe Resources Limited,0.12,ZAR,0.08,ZAR,9.6,9.6,210.52631578947367,-57.14285714285715,5,0
MPT,Mpact Limited,0.6,ZAR,0.3,ZAR,2.855782960495,2.8557829604950022,18.207197912241305,-42.85714285714286,5,0
IVT,Invicta Holdings Limited,1.15,ZAR,,,3.17241379310345,3.172413793103448,0,9.523809523809511,5,4
ORN,Orion Minerals Limited,0,ZAR,0,ZAR,0,,0,,0,0
SHG,Sea Harvest Group Ltd.,0.76,ZAR,0.76,ZAR,9.16767189384801,9.167671893848011,92.70553793608197,245.45454545454547,9,1
YYLBEE,YeboYethu Limited,1.97,ZAR,,,3.74074074074074,3.740740740740741,4.988171612858617,4.787234042553196,9,2
CMH,Combined Motor Holdings Limited,2.22,ZAR,2.22,ZAR,4.34010152284264,5.634517766497463,41.82366239638282,-18.681318681318672,17,0
ZZD,Zeda Limited,1.81,ZAR,,,12.3972602739726,12.397260273972604,50.09825901630269,81,2,1
PPE,Purple Group Limited,0,ZAR,,,0,,0,,0,0
SDL,Southern Palladium Ltd.,0,ZAR,0,ZAR,0,,0,,0,0
CSB,Cashbuild Limited,6.26,ZAR,3.93,ZAR,5.52191235059761,5.52191235059761,70.04103414121404,11.586452762923342,25,1
